Pod	FriendlyName	Catalog	BankIdentifier	Name
24	Premier One Credit Union	AlkamiPremierOneCU	fcca20c1-6914-4454-93c6-e71955310ba0	PremierOne Credit Union
24	Southland Credit Union	AlkamiSouthlandCU	2df01fa8-2542-4bb0-a914-f083128d8f3f	Southland Credit Union
24	Tucson Old Pueblo Credit Union	AlkamiTucsonOldPuebloCU	a644c86b-8a06-4320-9958-82ac9f7e89ee	TOPCU
24	Whitefish Credit Union Association	AlkamiWhitefishCU	ad01d3ae-1600-449d-beb9-d154beb94115	Whitefish Credit Union
26	Citizens Bank	AlkamiCitizensBank	2c6e7b00-1322-48cb-96e3-a167d96224a5	Citizens Bank
26	Dirigo Federal Credit Union	AlkamiDirigoFCU	03d2b99b-e879-4745-af33-6dff1789d3bf	Dirigo Federal Credit Union
26	Dupage Credit Union	AlkamiDupageCU	b6136c42-532d-4965-863c-8d2ea3afa041	DuPage Credit Union
26	Guardian Credit Union (AL)	AlkamiGuardianALCU	2fb1fad2-d48a-4c3f-9fcc-28f3fcd09dce	Guardian Credit Union
26	Heartland Bank and Trust Company	AlkamiHeartlandBT	c3bb4f6b-f4a5-42a4-8714-d4f7d1d2c11a	Heartland Bank and Trust Company
26	Horicon Bank	AlkamiHoriconBank	14515e7c-c948-4661-85b1-8120e3a8b503	Horicon Bank
26	Landmark Credit Union	AlkamiLandmarkCU	cb9939e2-e9c0-4b40-b763-142101a99e35	Landmark Credit Union - Digital Banking Login
26	Merck Sharp & Dohme Federal Credit Union	AlkamiMerckSharpDohmeFCU	42a0242e-bfcd-4f41-95df-7a886b7ee2ed	MSDFCU
26	Mid South Community Federal Credit Union	AlkamiMidsouthCommFCU	380426c5-73b5-4263-8b44-8fe30ba00c1f	MidSouth Community FCU
26	Raiz Federal Credit Union	AlkamiRaizFCU	9392130f-0120-4eb2-9e41-b25283b50b8c	Raiz Federal Credit Union
26	Somerset Trust Company	AlkamiSomersetTrust	3b2edaaa-beb0-48fb-8682-cbfcfa350733	Somerset Trust Company
26.0.1	Horicon Bank	AlkamiHoriconBank_PreProd	14515e7c-c948-4661-85b1-8120e3a8b503	Horicon Bank
27	Community First Credit Union	AlkamiCommunityFirstCU	59355231-a4e3-4efb-a307-6cc2ea8a724a	Community First Credit Union
27	Kinecta Federal Credit Union	AlkamiKinectaFCU	ae8c7caa-1322-4aaa-a939-274b0bb52e8d	Kinecta
27	Patelco Credit Union	AlkamiPatelco	437cc058-664e-4b02-a151-4a0c389053e6	Patelco Credit Union
27	Yolo Federal Credit Union	AlkamiYoloFCU	1381461e-90e7-4969-973d-68264e27e048	Yolo FCU
27.0.1	Patelco Credit Union	AlkamiPatelcoBetaWest	437cc058-664e-4b02-a151-4a0c389053e6	Patelco Credit Union
28	BeaconFCU	AlkamiBeaconFCU	36e3ae18-8086-4d0f-8ae9-f265e238b207	Beacon Federal Credit Union
28	Cobalt Credit Union	AlkamiCobaltCU	9610675e-da11-41b5-94ab-d7b0c20aa7da	Cobalt Credit Union
28	Corning Credit Union	AlkamiCorning	77797a49-03e9-4c58-ac53-09fc3eadc888	Corning Credit Union
28	Credit Union Of Texas	AlkamiCUofTexas	81d7b6c4-13ac-4295-9282-fabaea3288e0	Credit Union of Texas
28	Dade County Federal Credit Union	AlkamiDadeCountyFCU	d75bcaba-956f-4433-8458-471860f3332c	Dade County FCU
28	Mascoma Bank	AlkamiMascoma	0c32f8d9-9635-4e56-9349-5c4728001992	Mascoma Bank
28	Mutual Credit Union	AlkamiMutualCU	4e84ed62-1b2b-491c-ace3-8d54d2decb64	Mutual FCU
28	Quontic Bank	AlkamiQuonticBank	4056af9d-0a55-4201-8393-3b5ce8c2c590	Quontic Bank
28	Skyla Credit Union	AlkamiSkylaCU	143bb68a-1fbb-4a2e-b226-9eaba7371386	Skyla Credit Union
28	Superior Choice Credit Union	AlkamiSuperiorChoiceCU	92df2286-5dc4-4d09-aa78-35efcf3ab29d	Superior Choice Credit Union
28	Todos Unidos CUTX	AlkamiTodosUnidos	87836249-ff17-4fd3-936f-bc8586ddfb5e	Todos Unidos
28	Trinity Bank National Association	AlkamiTrinityBank	29b7fb76-b5c4-491a-8f21-44cd06b5256d	Trinity Bank
28	TTCU Federal Credit Union	AlkamiTTCUFCU	fe814c0e-2d9f-4406-aaf6-8d27c2d0d862	TTCU Federal Credit Union
28	Vermont Federal Credit Union	AlkamiVermontFCU	8cbfcfa8-0314-454c-b6d5-9b40a351e8b1	Vermont Federal Credit Union
28.51	Apl Federal Credit Union	AlkamiAPLFCU	d1b9b4b0-beb2-4307-847c-6d1ccc4a32a6	APL Federal Credit Union
29	BMI Federal Credit Union	AlkamiBMIFCU	17efd756-765d-483e-8367-10b6872f6883	BMI Federal Credit Union
29	Corporate America Family Credit Union	AlkamiCAFCU	1aa39087-6d94-4837-8690-9e060d3dacc5	CAFCU
29	Century Federal Credit Union	AlkamiCenturyFCU	883d77e3-ea17-401f-a9ba-ab095537264a	Century FCU
29	Crescent Bank & Trust	AlkamiCrescentBank	71578e91-80a3-4f2d-bc22-322e1e85e4d0	Crescent Bank
29	Financial Center First Credit Union	AlkamiFinancialCenterFirstCU	507567f5-5681-4e15-b666-70468db9a801	Financial Center
29	NASA Federal Credit Union	AlkamiNASAFCU	2abca82c-ac1a-4b4f-aa67-34efa2038f60	NASA Federal Credit Union
